"","Tempo","ID_maquina","volt","rotacao","pressao","vibracao","tipo_erro","falha","modelo","idade_maquina","comp_subst"
"1",2016-01-12 23:00:00,"13",NA,431.514885317379,107.125935049141,34.7558349567528,NA,NA,"model1",15,NA
"2",2016-01-12 23:00:00,"14",162.148194705265,412.031772241271,99.5870489920118,46.9618708097652,NA,NA,"model3",1,NA
"3",2016-01-12 23:00:00,"15",143.714179532554,488.675148269865,120.380007996002,42.5478802961495,NA,NA,"model3",14,NA
"4",2016-01-12 23:00:00,"16",160.493980456062,347.965389629601,91.4228898111755,46.2946244691596,NA,NA,"model1",3,NA
"5",2016-01-12 23:00:00,"17",NA,360.981706043632,89.1088804031432,45.761417146261,NA,NA,"model1",14,NA
"6",2016-01-12 23:00:00,"18",NA,386.856960922343,93.3349367570042,39.5438736598878,NA,NA,"model3",15,NA
"7",2016-01-12 23:00:00,"19",NA,454.550169481466,108.715070723586,42.6662407537898,NA,NA,"model3",17,NA
"8",2016-01-12 23:00:00,"20",NA,406.484480817786,95.3871715722164,37.619392798864,NA,NA,"model2",16,NA
"9",2016-01-13 00:00:00,"10",186.508187448905,441.618661638473,95.4963553517226,38.3866206410504,NA,NA,"model3",10,NA
"10",2016-01-13 00:00:00,"11",138.732010144174,434.491260221135,103.088546068474,47.0238698778004,NA,NA,"model2",6,NA
"11",2016-01-13 00:00:00,"12",NA,366.291877482883,91.6867284032529,25.7725070878282,NA,NA,"model3",9,NA
"12",2016-01-13 00:00:00,"13",168.729760384036,454.324422879833,102.854325619714,39.8831911066521,NA,NA,"model1",15,NA
"13",2016-01-13 00:00:00,"14",NA,460.678592636641,106.458334093449,37.0423507104764,NA,NA,"model3",1,NA
"14",2016-01-13 00:00:00,"15",NA,471.118290620564,92.4703318405554,39.6930100497903,NA,NA,"model3",14,NA
"15",2016-01-13 00:00:00,"16",NA,397.705090011808,95.4028538968342,45.1088120135182,NA,NA,"model1",3,NA
"16",2016-01-13 00:00:00,"17",NA,455.538217244452,103.586816691929,31.6410034329724,NA,NA,"model1",14,NA
"17",2016-01-13 00:00:00,"18",174.474469635757,365.636645494699,121.06027359447,43.0760589178199,NA,NA,"model3",15,NA
"18",2016-01-13 00:00:00,"19",NA,576.790685478167,105.622993719664,48.0101176392363,NA,NA,"model3",17,NA
"19",2016-01-13 00:00:00,"20",198.842277965756,438.672954410969,88.2407791363837,39.2687807127689,NA,NA,"model2",16,NA
"20",2016-01-13 01:00:00,"10",NA,479.965167490568,100.696958437662,43.982385605165,NA,NA,"model3",10,NA
"21",2016-01-13 01:00:00,"11",NA,438.056693214339,99.9569135027346,38.8402539727517,NA,NA,"model2",6,NA
"22",2016-01-13 01:00:00,"12",198.64427505186,520.798473278369,85.2193936430117,34.5628433048549,NA,NA,"model3",9,NA
"23",2016-01-13 01:00:00,"13",186.349568973127,399.492690361514,104.672000735742,43.6255234967593,NA,NA,"model1",15,NA
"24",2016-01-13 01:00:00,"14",NA,456.524289460186,101.203978457084,42.7418888556964,NA,NA,"model3",1,NA
"25",2016-01-13 01:00:00,"15",172.130284976039,419.605439242088,87.005344267505,41.6639933888014,NA,NA,"model3",14,NA
"26",2016-01-13 01:00:00,"16",183.746991702213,416.593916701506,89.0042415822715,46.1400495540307,NA,NA,"model1",3,NA
"27",2016-01-13 01:00:00,"17",NA,501.80370908507,117.701978096907,34.9656460840239,NA,NA,"model1",14,NA
"28",2016-01-13 01:00:00,"18",168.363755369743,442.115086432706,89.1894718581616,38.6322309124375,NA,NA,"model3",15,NA
"29",2016-01-13 01:00:00,"19",NA,418.954840278114,102.638251075997,NA,NA,NA,"model3",17,NA
"30",2016-01-13 01:00:00,"20",186.900695989361,452.7100592512,87.4508225239278,42.8541644431444,NA,NA,"model2",16,NA
"31",2016-01-13 02:00:00,"10",NA,505.860383434372,100.275919220481,34.4040929009254,NA,NA,"model3",10,NA
"32",2016-01-13 02:00:00,"11",175.333701589024,452.834484046066,90.8623280639072,40.0286256173298,NA,NA,"model2",6,NA
"33",2016-01-13 02:00:00,"12",NA,379.535649699669,90.2875511588063,37.1514925295166,NA,NA,"model3",9,NA
"34",2016-01-13 02:00:00,"13",168.636299051169,461.376683648982,121.585634411306,35.4015358385089,NA,NA,"model1",15,NA
"35",2016-01-13 02:00:00,"14",166.91392586828,462.485270933947,95.5836568447197,38.1319521930899,NA,NA,"model3",1,NA
"36",2016-01-13 02:00:00,"15",176.270275985082,427.451509486549,93.7421701397022,49.6038926079713,NA,NA,"model3",14,NA
"37",2016-01-13 02:00:00,"16",NA,468.181348933005,81.9458390709592,36.6420040383632,NA,NA,"model1",3,NA
"38",2016-01-13 02:00:00,"17",NA,394.139371322875,96.0585284118674,30.6556509738132,NA,NA,"model1",14,NA
"39",2016-01-13 02:00:00,"18",NA,384.438668204766,79.2989663486911,39.9539164838816,NA,NA,"model3",15,NA
